"","q3_increasewhenopen_specify","q6_radio_pp_yes","q6_radio_p_yes","q6_radio_ls_yes","q6_radio_us_yes","q6_tv_pp_yes","q6_tv_p_yes","q6_tv_ls_yes","q6_tv_us_yes","q7_radio_yes_pp","q7_tv_yes_pp","q7_online_yes_pp","q7_paper_yes_pp","q7_radio_yes_p","q7_tv_yes_p","q7_online_yes_p","q7_paper_yes_p","q7_radio_yes_ls","q7_tv_yes_ls","q7_online_yes_ls","q7_paper_yes_ls","q7_radio_yes_us","q7_tv_yes_us","q7_online_yes_us","q7_paper_yes_us"
"1",4,5,7,7,6,5,8,15,10,0,32.5,50,5,0,95,76,5,0,75,80.5,7.5,0,27.5,90,7.5
"2",4,10,10,10,10,10,10,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"3",4,5,7,7,6,5,40,40,35,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"4",4,5,5,5,5,10,10,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"5",4,5,7,7,6,5,8,10,23,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"6",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"7",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"8",4,5,7,7,6,5,8,7,7,0,32.5,50,5,0,50,76,5,0,35,80.5,93,0,27.5,85,93
"9",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"10",4,4,4,7,6,4,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
"11",4,14,112,14,14,14,14,14,21,99,35,55,100,99,35,55,100,99,35,55,100,99,35,55,100
"12",4,5,7,7,6,5,8,3,8,0,32.5,50,5,0,50,95,5,0,35,95,7.5,0,27.5,98,7.5
"13",4,5,7,7,6,5,8,10,10,0,32.5,50,5,0,50,76,5,0,35,80.5,7.5,0,27.5,85,7.5
