"","q3_increasewhenopen_specify","q6_radio_pp_yes","q6_radio_p_yes","q6_radio_ls_yes","q6_radio_us_yes","q6_tv_pp_yes","q6_tv_p_yes","q6_tv_ls_yes","q6_tv_us_yes","q7_radio_yes_pp","q7_tv_yes_pp","q7_online_yes_pp","q7_paper_yes_pp","q7_radio_yes_p","q7_tv_yes_p","q7_online_yes_p","q7_paper_yes_p","q7_radio_yes_ls","q7_tv_yes_ls","q7_online_yes_ls","q7_paper_yes_ls","q7_radio_yes_us","q7_tv_yes_us","q7_online_yes_us","q7_paper_yes_us","rowSums","rowMeans"
"1",NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,50,NA,NA,95,NA,NA,NA,75,NA,NA,NA,NA,90,NA,325,65
"2",NA,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,10
"3",NA,NA,NA,NA,NA,NA,40,40,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,38.3333333333333
"4",NA,5,5,5,5,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,7.5
"5",NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"8",NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,93,200,50
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"10",NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4
"11",NA,14,112,14,14,14,14,14,21,99,35,55,100,99,35,55,100,99,35,55,100,99,35,55,100,1373,57.2083333333333
"12",NA,NA,NA,NA,NA,NA,NA,3,8,NA,NA,NA,NA,NA,NA,95,NA,NA,NA,95,NA,NA,NA,98,NA,299,59.8
"13",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4
"14",NA,NA,7,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,9.33333333333333
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"16",NA,NA,15,15,NA,NA,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,15
"17",5,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2.6
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"19",4,NA,NA,NA,NA,4,4,4,4,50,50,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,24.4444444444444
"20",2,NA,NA,NA,NA,NA,8,18,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,26.5
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,95,NA,NA,NA,100,NA,285,95
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"23",NA,NA,NA,NA,NA,1,10,8,10,NA,100,NA,NA,NA,100,75,NA,NA,100,80,NA,NA,100,90,NA,674,61.2727272727273
"24",NA,5,5,5,5,5,5,5,5,95,93,30,NA,95,93,30,NA,95,93,30,NA,95,93,30,NA,912,45.6
"25",NA,NA,NA,NA,NA,2,8,10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,10
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,3,NA,NA,83,3,NA,NA,81,NA,NA,NA,81,NA,329,54.8333333333333
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,60,20,NA,15,70,15,NA,10,70,20,300,33.3333333333333
